label,state,amine,radius,Vbur_pct,Vbur_abs,Vfree,Q_NE,Q_NW,Q_SW,Q_SE
2A_DMDP,2A,DMDP,3.5,0.1724864890048453,30.977604056413952,148.61677597380256,32.731550503168094,36.263045098770036,0.0,0.0
2A_DMEDA,2A,DMEDA,3.5,0.1656494595601938,29.749711992053427,149.8446680381631,33.00177040626164,33.258013417815874,0.0,0.0
2A_EAE,2A,EAE,3.5,0.2199089172568021,39.49440565785155,140.09997437236495,34.35054043980619,53.61302646291465,0.0,0.0
2A_EDA,2A,EDA,3.5,0.14462588520313083,25.973996189377544,153.62038384083897,27.669586284010435,30.18076779724189,0.0,0.0
2A_INDO,2A,INDO,3.5,0.17430930860976518,31.30497221326646,148.28940781695005,33.40710026090198,36.3166231830041,0.0,0.0
2A_ISBZ,2A,ISBZ,3.5,0.22152790719344018,39.78516715179723,139.8092128784193,40.169586284010435,48.44157659336564,0.0,0.0
2A_MEPI,2A,MEPI,3.5,0.16651719157659337,29.905551785571078,149.68882824464544,29.453969437197166,37.15290719344018,0.0,0.0
2A_METOX,2A,METOX,3.5,0.14282636041744315,25.65081165114296,153.94356837907355,27.23164368244502,29.89890048453224,0.0,0.0
2A_MOR,2A,MOR,3.5,0.16536409802459934,29.698462663983868,149.89591736623265,29.29090570257175,36.85473350726798,0.0,0.0
2A_MTL,2A,MTL,3.5,0.18114051434960865,32.5318183729725,147.062561657244,33.34653373089825,39.10967200894521,0.0,0.0
2A_NMA,2A,NMA,3.5,0.18401160081997764,33.047449367631565,146.54693066258494,35.109951546776,38.49468878121505,0.0,0.0
2A_OCTA,2A,OCTA,3.5,0.16726262579202386,30.03942758134463,149.5549524488719,34.19446515095043,32.710585165859115,0.0,0.0
2A_OTL,2A,OTL,3.5,0.19608996459187478,35.216655621024856,144.37772440919167,34.168840849795004,44.267144986954904,0.0,0.0
2A_PIP,2A,PIP,3.5,0.1676353428997391,30.106365479231403,149.4880145509851,29.56345508758852,37.490682072307116,0.0,0.0
2A_THQ,2A,THQ,3.5,0.19942694744688783,35.81595898804239,143.77842104217413,35.11926947446888,44.65150950428625,0.0,0.0
3A_AMP,3A,AMP,3.5,0.22678671263510994,40.72961905479344,138.86476097542308,38.138278046962355,51.37905329854641,0.549757733879985,0.6475959746552367
3A_BEMT,3A,BEMT,3.5,0.24627282892284755,44.22921602868638,135.36516400153013,40.62849422288483,56.121878494222884,0.9271338054416698,0.8316250465896384
3A_BENZ,3A,BENZ,3.5,0.2509958535221767,45.077444703470356,134.51693532674616,47.15803205367126,51.6306373462542,0.9527581065970928,0.6569139023481178
3A_BMAE,3A,BMAE,3.5,0.24506149832277302,44.01166786055436,135.58271216966216,45.53205367126351,51.22297800969065,0.7780469623555721,0.4915206857994782
3A_BOX,3A,BOX,3.5,0.2600400670890794,46.70173463187912,132.89264539833738,49.56671636228103,53.34047707789787,0.67554975773388,0.4332836377189713
3A_DADP,3A,DADP,3.5,0.23273853894893776,41.79853361167287,137.79584641854365,39.5219903093552,52.233973164368244,0.6429370108087962,0.6965150950428625
3A_DBUA,3A,DBUA,3.5,0.2637322959373835,47.36483818281998,132.22954184739655,42.971953037644425,61.54258292955646,0.5823704808050689,0.39601192694744686
3A_DEA,3A,DEA,3.5,0.2620434215430488,47.06152583302054,132.53285419719597,42.74366380916884,61.05805068952665,0.6103242638837123,0.40532985464032795
3A_DEGE,3A,DEGE,3.5,0.22117266120014908,39.7213669678739,139.8730130623426,43.52404025344763,43.391259783824076,0.649925456578457,0.9038389862094671
3A_DEPA,3A,DEPA,3.5,0.2221161013790533,39.8908035218998,139.7035765083167,43.52404025344764,43.69642191576593,0.6708907938874394,0.9550875885203132
3A_DETA,3A,DETA,3.5,0.2132815411852404,38.304166161052336,141.29021386916418,44.71440551621319,39.67806559821096,0.5264629146477824,0.39368244502422667
3A_DMDP,3A,DMDP,3.5,0.21279817368617218,38.217356074730425,141.3770239554861,41.61153559448379,42.47344390607529,0.6033358181140513,0.430954155795751
3A_DMEDA,3A,DMEDA,3.5,0.21296706112560568,38.24768730971038,141.34669272050613,44.19027208348864,40.14163250093179,0.4868617219530376,0.36805814386880353
3A_EAE,3A,EAE,3.5,0.26255008386134926,47.15251953796037,132.44186049225613,42.741334327245625,61.2700335445397,0.6033358181140513,0.40532985464032795
3A_EDA,3A,EDA,3.5,0.19014978568766305,34.149832873454386,145.44454715676213,37.60249720462169,37.70965337308982,0.4262951919493105,0.3214685054043981
3A_INDO,3A,INDO,3.5,0.25496762020126723,45.79075167782629,133.8036283523902,46.88082370480805,51.672568020872156,1.9893775624301155,1.444278792396571
3A_ISBZ,3A,ISBZ,3.5,0.26907845695117405,48.32497865563341,131.2694013745831,48.872530749161385,57.538203503540814,0.8223071188967574,0.39834140887066716
3A_MEPI,3A,MEPI,3.5,0.24173033917256803,43.41341039819132,136.1809696320252,41.94931047335072,54.13017144986955,0.40300037271710776,0.20965337308982485
3A_METOX,3A,METOX,3.5,0.21109182817741334,37.91090601096754,141.683474019249,38.47838240775252,44.93104733507268,0.4938501677226985,0.5334513604174431
3A_MOR,3A,MOR,3.5,0.24273784010436078,43.5943519034165,136.0000281268,42.27776742452479,53.9181885948565,0.5590756615728663,0.34010436079016027
3A_MTL,3A,MTL,3.5,0.22117848490495715,39.72241287252838,139.87196715768812,40.79388743943347,46.05618710398808,0.9387812150577712,0.6825382035035408
3A_NMA,3A,NMA,3.5,0.25601588706671635,45.97901451563285,133.61536551458366,44.104081252329486,50.642937010808794,3.4592806559821097,4.200055907566157
3A_OCTA,3A,OCTA,3.5,0.2320222232575475,41.66988733917173,137.92449269104478,46.94837868058144,44.5886134923593,0.7733879985091315,0.498509131569139
3A_OTL,3A,OTL,3.5,0.23466618524040253,42.144728052306036,137.4496519779105,42.061125605665296,49.64824822959373,1.1181513231457325,1.0389489377562429
3A_PIP,3A,PIP,3.5,0.2437744595601938,43.78052293191409,135.81385709830244,42.464125978382405,54.24431606410734,0.5031680954155795,0.2981736861721953
