label,state,amine,radius,Vbur_pct,Vbur_abs,Vfree,Q_NE,Q_NW,Q_SW,Q_SE
4A_AMP,4A,AMP,3.5,0.23773527767424524,42.69591980521745,136.89846022499907,35.97884830413716,53.36377189713008,2.303857622064853,3.447633246366008
4A_BEMT,4A,BEMT,3.5,0.24923709467014535,44.76158149781713,134.83279853239938,41.44381289601193,54.54016026835632,1.9917070443533358,1.7191576593365634
4A_BENZ,4A,BENZ,3.5,0.26322563361908313,47.273844477880154,132.32053555233637,40.60286992172941,59.33423406634364,3.4895639209839735,1.8635855385762206
4A_BMAE,4A,BMAE,3.5,0.24936521617592247,44.78459140021572,134.8097886300008,41.043142005218044,54.9058889303019,2.2246552366753636,1.5724002981736862
4A_BOX,4A,BOX,3.5,0.25158987141259787,45.184126978227404,134.41025305198912,42.94865821841222,52.59737234439061,3.133153186731271,1.9567648155050317
4A_DADP,4A,DADP,3.5,0.23756639023481177,42.6655885702375,136.928791459979,37.22512113306001,52.18039508013418,2.303857622064853,3.3171822586656727
4A_DBUA,4A,DBUA,3.5,0.26574729780096906,47.72672119327036,131.86765883694616,42.42219530376444,58.56550503168096,2.45061498322773,2.8606038017144986
4A_DEA,4A,DEA,3.5,0.2636041744316064,47.3418282804214,132.25255174979512,41.15029817368617,59.80478941483415,2.5018635855385765,1.9847185985836748
4A_DEGE,4A,DEGE,3.5,0.21976914834140887,39.46930394614401,140.1250760840725,39.3961982855013,44.62821468505404,2.3690831159150205,1.5141632500931792
4A_DEPA,4A,DEPA,3.5,0.2187034103615356,39.277903394374015,140.3164766358425,39.28205367126351,44.45583302273574,2.3061871039880733,1.4372903466269102
4A_DETA,4A,DETA,3.5,0.22445140700708163,40.31021128834662,139.2841687418699,42.585259038389864,41.991241147968694,3.300875885203131,1.9031867312709654
4A_DMDP,4A,DMDP,3.5,0.21965267424524787,39.4483858530544,140.14599417716212,39.30534849049572,44.6584979500559,2.383060007454342,1.5141632500931792
4A_DMEDA,4A,DMEDA,3.5,0.22144637532612746,39.77052448663449,139.82385554358203,37.1668840849795,47.25587029444652,2.4692508386134926,1.6865449124114795
4A_EAE,4A,EAE,3.5,0.2625442601565412,47.15147363330589,132.44290639691062,41.48574357062989,58.111256056653,2.5298173686172194,2.8908870667163624
4A_EDA,4A,EDA,3.5,0.21927413343272456,39.38040205051314,140.21397797970337,39.14927320163996,44.705087588520314,2.350447260529258,1.504845322400298
4A_INDO,4A,INDO,3.5,0.2596848210957883,46.637934447955786,132.95644558226073,39.88538948937756,60.27534476332464,1.9031867312709654,1.8100074543421545
4A_ISBZ,4A,ISBZ,3.5,0.2778664275065226,49.903248779245025,129.6911312509715,45.403932165486395,58.94754006708908,4.146477823332091,2.6486209467014534
4A_MEPI,4A,MEPI,3.5,0.24972046216921356,44.848391584139044,134.74598844607746,40.311684681326874,55.72353708535222,2.2782333209094294,1.5747297800969067
4A_METOX,4A,METOX,3.5,0.21911106969809915,39.351116720187676,140.24326331002885,37.79584420424897,46.07482295937383,1.7121692135669027,2.0615915020499442
4A_MOR,4A,MOR,3.5,0.2491380916884085,44.74380111869096,134.85057891152556,41.92601565411852,53.97875512486023,1.9893775624301155,1.7610883339545285
4A_MTL,4A,MTL,3.5,0.22997227916511367,41.301728900794465,138.29265112942204,44.406913902348116,43.59858367499068,1.8496086470368989,2.1338054416697725
4A_NMA,4A,NMA,3.5,0.24640677413343273,44.25327183573944,135.34110819447707,40.111349235929936,55.88194185613119,1.376723816623183,1.1926947446887812
4A_OCTA,4A,OCTA,3.5,0.23746738725307492,42.64780819111133,136.9465718391052,43.58460678345136,45.44353335818114,3.6992172940737977,2.2595974655236675
4A_OTL,4A,OTL,3.5,0.23996575661572866,43.09650128788362,136.4978787423329,33.07398434588148,59.164181885948565,1.823984345881476,1.9241520685799478
4A_PIP,4A,PIP,3.5,0.251263743943347,45.125556317576475,134.46882371264005,40.47474841595229,56.310566530003726,2.2199962728289226,1.5001863585538577
4A_THQ,4A,THQ,3.5,0.2616881755497577,46.9977256490972,132.59665438111932,40.42582929556467,58.52823332090943,2.9095229221021244,2.8116846813268728
