label,state,amine,radius,Vbur_pct,Vbur_abs,Vfree,Q_NE,Q_NW,Q_SW,Q_SE,SASA_total,SASA_amine,SASA_catalyst,amine_N_index,Ru_N_distance,SASA_amine_N,SASA_N_ratio,Sterimol_L,Sterimol_B1,Sterimol_B5
2A_AMP,2A,AMP,3.5,0.19021967014535968,34.162383729308154,145.43199630090837,30.646664181885946,45.441203876257916,0.0,0.0,810.6231435225124,138.94013409513127,671.683009427381,80,2.265154398020144,0.03999957581252752,0.00028789072410956583,7.305704820113982,3.213697405853214,10.047675384315095
2A_BEMT,2A,BEMT,3.5,0.19931629705553486,35.79608679960725,143.79829323060926,34.129239657100264,45.597279165113676,0.0,0.0,856.6845986477005,186.65143631211478,670.0331623355858,67,2.3403676216569056,0.0,0.0,7.529196292574132,4.516028429590371,10.150398554891321
2A_BENZ,2A,BENZ,3.5,0.18636437756243013,33.46999484804183,146.12438518217468,36.47968691762952,38.06606410734253,0.0,0.0,865.0147469153156,238.8021430540217,626.2126038612939,67,2.6120188906859,0.0,0.0,5.895859113322286,4.806539463218378,10.256787085162276
2A_BMAE,2A,BMAE,3.5,0.20225726798360044,36.32426865012008,143.27011138009644,37.94027208348864,42.96263510995154,0.0,0.0,801.0832201574109,135.13029720624596,665.9529229511647,64,2.355798594712205,0.0,0.0,6.029256590720993,4.79143587199189,10.13200633294015
2A_BOX,2A,BOX,3.5,0.18822796310100634,33.804684337475706,145.7896956927408,38.04276928811032,37.24841595229221,0.0,0.0,857.742761496506,210.10986097201524,647.6329005244908,73,2.6328455831096513,0.0,0.0,7.4597433194935245,4.105732680411929,10.349351166677573
2A_DADP,2A,DADP,3.5,0.1924850913156914,34.56924063990121,145.0251393903153,31.881289601192698,45.11274692508386,0.0,0.0,887.6428150586162,228.73964884510426,658.9031662135118,87,2.290846566644305,0.6999925767192984,0.003060215315768508,10.414324075902213,2.795033820667406,10.061713720665546
2A_DBUA,2A,DBUA,3.5,0.2214172568020872,39.765294963362095,139.82908506685442,34.744222884830414,53.82267983600447,0.0,0.0,862.1532788513957,213.7904536787005,648.3628251726955,64,2.3451627432342517,0.0,0.0,7.512838015431216,3.676645324754285,10.168339534370304
2A_DEA,2A,DEA,3.5,0.2183481643682445,39.21410321045068,140.38027681976584,34.69763324636601,52.64163250093179,0.0,0.0,790.7105795854004,134.56763150987555,656.1429480755249,64,2.3637166111585795,0.0,0.0,7.685980177445366,3.076924660188861,10.180793726700692
2A_DEGE,2A,DEGE,3.5,0.1747810286992173,31.38969049027941,148.2046895399371,34.28065598210958,35.63175549757734,0.0,0.0,1073.6412439471833,397.15846786429734,676.482776082886,73,2.2887052540729225,0.029999681859392606,7.553579814302994e-05,15.758903922638291,6.0501184277938425,11.502172587618583
2A_DEPA,2A,DEPA,3.5,0.1747227916511368,31.379231443734604,148.21514858648192,34.19213566902721,35.69698099142751,0.0,0.0,868.7232021277721,203.4705373276692,665.2526648001028,77,2.285997426189933,0.029999681859392606,0.00014743993038697826,7.820600631744713,5.50568845246864,9.877880579685126
2A_DETA,2A,DETA,3.5,0.16755963473723443,30.092768718723146,149.50161131149338,34.57882966828177,32.445024226612,0.0,0.0,831.6827425360709,168.56965265562124,663.1130898804497,70,2.5706706894116174,1.199987274375935,0.0071186435723839606,8.163760597995909,2.6133242716016083,10.297974401710643
2A_DMDP,2A,DMDP,3.5,0.1724864890048453,30.977604056413952,148.61677597380256,32.731550503168094,36.263045098770036,0.0,0.0,983.3333838330876,297.8502451241556,685.4831387089317,93,2.279998023842126,0.08999904557818995,0.00030216206651324004,10.479704032398379,4.579567342992148,10.08535960859053
2A_DMEDA,2A,DMEDA,3.5,0.1656494595601938,29.749711992053427,149.8446680381631,33.00177040626164,33.258013417815874,0.0,0.0,806.8836636924577,137.90040774397622,668.9832559484815,64,2.574584389644278,1.019989183219555,0.0073965639399214194,6.905464685052145,2.356573171979856,10.212419193195833
2A_EAE,2A,EAE,3.5,0.2199089172568021,39.49440565785155,140.09997437236495,34.35054043980619,53.61302646291465,0.0,0.0,800.2820048568002,147.82909629628853,652.4529085605118,64,2.3568919494537717,0.0,0.0,7.520197940707084,3.1984597098319094,10.184824381483415
2A_EDA,2A,EDA,3.5,0.14462588520313083,25.973996189377544,153.62038384083897,27.669586284010435,30.18076779724189,0.0,0.0,792.1527919794069,103.86968619902608,688.283105780381,64,2.5738427528891505,0.23999745487518942,0.002310563010803047,7.063256690234919,3.1550708352417627,10.289461785827235
2A_INDO,2A,INDO,3.5,0.17430930860976518,31.30497221326646,148.28940781695005,33.40710026090198,36.3166231830041,0.0,0.0,805.164030627289,149.20093809634884,655.9630925309405,66,2.6709006776179454,0.0,0.0,6.7304465180402255,3.7953650660487455,10.473089657632663
2A_ISBZ,2A,ISBZ,3.5,0.22152790719344018,39.78516715179723,139.8092128784193,40.169586284010435,48.44157659336564,0.0,0.0,842.5740033223084,206.5811668551352,635.992836467173,66,2.371057814689469,0.0,0.0,7.563374140977715,4.038677429407322,10.1962409635945
2A_MEPI,2A,MEPI,3.5,0.16651719157659337,29.905551785571078,149.68882824464544,29.453969437197166,37.15290719344018,0.0,0.0,829.7733027698695,152.61019050765094,677.1631122622185,77,2.6016500468740986,0.0,0.0,7.398193696914994,3.7849795572228118,10.335255477214272
2A_METOX,2A,METOX,3.5,0.14282636041744315,25.65081165114296,153.94356837907355,27.23164368244502,29.89890048453224,0.0,0.0,875.9115318494145,185.42846072314302,690.4830711262715,70,2.575958667176164,0.16999819720325715,0.0009167858943567229,8.75553052642834,3.869599662546278,10.266254776529
2A_MOR,2A,MOR,3.5,0.16536409802459934,29.698462663983868,149.89591736623265,29.29090570257175,36.85473350726798,0.0,0.0,801.0924889133684,121.24922067951708,679.8432682338512,76,2.605737673155531,0.0,0.0,7.401254701089546,3.2488330689039557,10.348118743223612
2A_MTL,2A,MTL,3.5,0.18114051434960865,32.5318183729725,147.062561657244,33.34653373089825,39.10967200894521,0.0,0.0,803.7738390717923,147.4208655183753,656.3529735534169,64,2.31447561689511,1.2299869562353396,0.008343370878405455,7.149889744634075,3.3407532693683644,10.06614937849981
2A_NMA,2A,NMA,3.5,0.18401160081997764,33.047449367631565,146.54693066258494,35.109951546776,38.49468878121505,0.0,0.0,790.3438181200547,135.13093321344377,655.212884906611,64,2.662501291793114,0.0,0.0,6.815430314702276,3.084780601950158,10.238545372168861
2A_OCTA,2A,OCTA,3.5,0.16726262579202386,30.03942758134463,149.5549524488719,34.19446515095043,32.710585165859115,0.0,0.0,842.6333969871621,181.8202841917009,660.8131127954609,70,2.566793515224784,1.2199870622822047,0.006709851256177337,8.717527175312922,2.5756530801735558,10.290432791710494
2A_OTL,2A,OTL,3.5,0.19608996459187478,35.216655621024856,144.37772440919167,34.168840849795004,44.267144986954904,0.0,0.0,794.2739306013157,138.71088040684134,655.5630501944745,64,2.350748320237622,0.9599898195007577,0.006920796816263378,6.806469079456709,3.3538006804501332,10.121248307144208
2A_PIP,2A,PIP,3.5,0.1676353428997391,30.106365479231403,149.4880145509851,29.56345508758852,37.490682072307116,0.0,0.0,810.4033269812855,132.56007351870673,677.8432534625788,76,2.6038717759905157,0.0,0.0,7.449736447234926,3.229997440189844,10.353046264353056
2A_THQ,2A,THQ,3.5,0.19942694744688783,35.81595898804239,143.77842104217413,35.11926947446888,44.65150950428625,0.0,0.0,807.2235567708071,164.92069750498095,642.3028592658263,66,2.639207388635838,0.0,0.0,6.994088012439972,2.919155865562328,10.391090296805357
3A_AMP,3A,AMP,3.5,0.22678671263510994,40.72961905479344,138.86476097542308,38.138278046962355,51.37905329854641,0.549757733879985,0.6475959746552367,809.1332480736685,138.07013902033773,671.0631090533304,80,2.1746780022738994,0.24999734882832433,0.0018106547194212624,7.575738691988617,3.4019681453448927,9.97283223416821
3A_BEMT,3A,BEMT,3.5,0.24627282892284755,44.22921602868638,135.36516400153013,40.62849422288483,56.121878494222884,0.9271338054416698,0.8316250465896384,822.8039484559225,168.5909025216501,654.2130459342723,67,2.2100028276226253,0.0,0.0,6.819254735526688,3.9193284471225898,9.846561266670417
3A_BENZ,3A,BENZ,3.5,0.2509958535221767,45.077444703470356,134.51693532674616,47.15803205367126,51.6306373462542,0.9527581065970928,0.6569139023481178,891.6743684247132,247.51131481538408,644.1630536093292,67,2.22138503128116,0.0,0.0,7.231564910719986,5.446829762499663,9.969534090169498
3A_BMAE,3A,BMAE,3.5,0.24506149832277302,44.01166786055436,135.58271216966216,45.53205367126351,51.22297800969065,0.7780469623555721,0.4915206857994782,800.8133448799488,138.99024301601375,661.8231018639349,64,2.212830410554998,0.0,0.0,7.202504827069276,3.837230577487122,10.096180489627676
3A_BOX,3A,BOX,3.5,0.2600400670890794,46.70173463187912,132.89264539833738,49.56671636228103,53.34047707789787,0.67554975773388,0.4332836377189713,852.4228420226763,205.84984088457165,646.5730011381044,73,2.2467990045395694,0.0,0.0,7.525820327605904,4.119122473991156,10.057482459412228
