label,state,amine,radius,Vbur_pct,Vbur_abs,Vfree,Q_NE,Q_NW,Q_SW,Q_SE
H3_AMP,H3,AMP,3.5,0.16666860790160268,29.932745306587577,149.66163472362894,34.322586656727545,30.220368989936638,1.2066716362281027,0.9178158777487887
H3_BEMT,H3,BEMT,3.5,0.1684972512113306,30.261159368094567,149.33322066212196,33.661013790532984,31.387439433469996,1.0179836004472607,1.3324636600819977
H3_BENZ,H3,BENZ,3.5,0.1675538110324264,30.09172281406867,149.50265721614784,32.708255683935896,31.834699962728287,1.3487700335445396,1.1297987327618337
H3_BMAE,H3,BMAE,3.5,0.16586493663809168,29.78841046426922,149.8059695659473,32.11423779351472,31.89759597465524,1.2486023108460678,1.0855385762206486
H3_BOX,H3,BOX,3.5,0.16078084234066345,28.87533570090744,150.71904432930907,31.916231830041,30.15980245993291,0.9853708535221767,1.2509317927692882
H3_DADP,H3,DADP,3.5,0.1659697633246366,29.807236748049874,149.78714328216665,32.82705926202013,31.10557212076034,1.1111628773760716,1.3441110696980991
H3_DBUA,H3,DBUA,3.5,0.16128750465896385,28.966329405847272,150.62805062436925,31.697260529258298,30.453317182258665,1.241613865076407,1.1228102869921728
H3_DEA,H3,DEA,3.5,0.16141562616474095,28.989339308245846,150.60504072197068,31.846347372344393,30.18076779724189,1.2136600819977637,1.325475214312337
H3_DEGE,H3,DEGE,3.5,0.16283661013790532,29.244540043939175,150.34983998627735,30.502236302646295,32.59644055162132,1.080879612374208,0.9550875885203132
H3_DEPA,H3,DEPA,3.5,0.16274925456578457,29.228851474121964,150.36552855609455,31.054323518449497,32.01872903466269,1.048266865449124,0.9783824077525158
H3_DETA,H3,DETA,3.5,0.1690621505777115,30.36261211957921,149.2317679106373,33.35352217666791,31.892937010808794,1.283544539694372,1.0948565039135296
H3_DMDP,H3,DMDP,3.5,0.16244059821095788,29.173418527434478,150.42096150278203,30.47894148341409,32.47530749161386,1.080879612374208,0.9411106969809914
H3_DMEDA,H3,DMEDA,3.5,0.16235324263883713,29.157729957617267,150.43665007259924,30.255311218784943,32.42172940737979,1.3860417443160642,0.878214685054044
H3_EAE,H3,EAE,3.5,0.16171263510995154,29.04268044562437,150.55169958459214,31.750838613492363,30.392750652254936,1.1367871785314947,1.4046775997018262
H3_EDA,H3,EDA,3.5,0.15625,28.06162187972133,151.53275815049517,31.392098397316435,29.020685799478198,0.92946328736489,1.1577525158404771
H3_INDO,H3,INDO,3.5,0.17013953596720088,30.556104480658167,149.03827554955834,33.61209467014536,32.102590383898615,0.878214685054044,1.4629146477823332
H3_ISBZ,H3,ISBZ,3.5,0.1659697633246366,29.807236748049874,149.78714328216665,32.8806373462542,31.100913156913904,1.1414461423779352,1.2649086843086097
H3_MEPI,H3,MEPI,3.5,0.1642226518822214,29.493465351705623,150.1009146785109,32.065318673127095,31.471300782705924,1.2183190458442044,0.9341222512113306
H3_METOX,H3,METOX,3.5,0.16496226239284384,29.62629524282469,149.96808478739183,33.36284010436079,30.711889675736117,0.7454342154304883,1.1647409616101378
H3_MOR,H3,MOR,3.5,0.15786316623183005,28.35133746901253,151.243042561204,32.414740961610136,28.31951174058889,0.9434401789042116,1.4675736116287739
H3_MTL,H3,MTL,3.5,0.16853219344017892,30.267434796021455,149.32694523419505,33.991800223630264,31.15915020499441,0.8153186731270965,1.4466082743197912
H3_NMA,H3,NMA,3.5,0.16738492359299292,30.061391579088724,149.53298845112778,31.18011554230339,33.49562057398435,0.9317927692881103,1.3464405516213194
H3_OCTA,H3,OCTA,3.5,0.16857295937383526,30.27475612860282,149.31962390161368,32.712914647782334,32.34951546775997,1.316157286619456,1.0505963473723445
H3_OTL,H3,OTL,3.5,0.16580087588520312,29.77690551306993,149.8174745171466,33.03438315318673,31.131196421915767,0.743104733507268,1.411666045471487
H3_PIP,H3,PIP,3.5,0.16329085911293328,29.326120606988685,150.26825942322782,31.70657845695117,31.45965337308982,1.2439433469996273,0.9061684681326873
H3_THQ,H3,THQ,3.5,0.16329085911293328,29.326120606988685,150.26825942322782,31.76947446887812,30.95182631382781,1.2718971300782704,1.3231457323891167
