state,amine,label,filepath,filename,n_atoms,n_cat_atoms,n_amine_atoms,n_extra_atoms
5A,THQ,5A_THQ,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/5A/opt_thq_5_limcat_b3lypd3bs1.xyz,opt_thq_5_limcat_b3lypd3bs1.xyz,89,63,21,5
H1,AMP,H1_AMP,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/H1/INT_TS_amp_h2h_3_b3lypd3bs1_cfc.xyz,INT_TS_amp_h2h_3_b3lypd3bs1_cfc.xyz,84,63,21,0
H1,BEMT,H1_BEMT,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/H1/INT_TS_bemt_h2h_3_b3lypd3bs1.xyz,INT_TS_bemt_h2h_3_b3lypd3bs1.xyz,85,63,22,0
H1,BENZ,H1_BENZ,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/H1/INT_TS_benz_h2h_3_b3lypd3bs1.xyz,INT_TS_benz_h2h_3_b3lypd3bs1.xyz,95,63,32,0
H1,BMAE,H1_BMAE,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/H1/INT_TS_bmae_h2h_3_b3lypd3bs1.xyz,INT_TS_bmae_h2h_3_b3lypd3bs1.xyz,83,63,20,0
H1,BOX,H1_BOX,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/H1/INT_TS_box_h2h_3_b3lypd3bs1.xyz,INT_TS_box_h2h_3_b3lypd3bs1.xyz,89,63,26,0
H1,DADP,H1_DADP,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/H1/INT_TS_dadp_h2h_3_b3lypd3bs1.xyz,INT_TS_dadp_h2h_3_b3lypd3bs1.xyz,91,63,28,0
H1,DBUA,H1_DBUA,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/H1/INT_TS_dbua_h2h_3_b3lypd3bs1.xyz,INT_TS_dbua_h2h_3_b3lypd3bs1.xyz,93,63,30,0
H1,DEA,H1_DEA,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/H1/INT_TS_dea_h2h_3_b3lypd3bs1.xyz,INT_TS_dea_h2h_3_b3lypd3bs1.xyz,83,63,20,0
H1,DEGE,H1_DEGE,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/H1/INT_TS_dege_h2h_3_b3lypd3bs1.xyz,INT_TS_dege_h2h_3_b3lypd3bs1.xyz,104,63,41,0
H1,DEPA,H1_DEPA,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/H1/INT_TS_depa_h2h_3_b3lypd3bs1.xyz,INT_TS_depa_h2h_3_b3lypd3bs1.xyz,92,63,29,0
H1,DETA,H1_DETA,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/H1/INT_TS_deta_h2h_3_b3lypd3bs1.xyz,INT_TS_deta_h2h_3_b3lypd3bs1.xyz,85,63,22,0
H1,DMDP,H1_DMDP,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/H1/INT_TS_dmdp_h2h_3_b3lypd3bs1.xyz,INT_TS_dmdp_h2h_3_b3lypd3bs1.xyz,97,63,34,0
H1,DMEDA,H1_DMEDA,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/H1/INT_TS_dmeda_h2h_3_b3lypd3bs1_cfc.xyz,INT_TS_dmeda_h2h_3_b3lypd3bs1_cfc.xyz,83,63,20,0
H1,EAE,H1_EAE,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/H1/INT_TS_eae_h2h_3_b3lypd3bs1.xyz,INT_TS_eae_h2h_3_b3lypd3bs1.xyz,85,63,22,0
H1,EDA,H1_EDA,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/H1/INT_TS_eda_h2h_3_b3lypd3bs1.xyz,INT_TS_eda_h2h_3_b3lypd3bs1.xyz,77,63,14,0
