label,state,amine,radius,Vbur_pct,Vbur_abs,Vfree,Q_NE,Q_NW,Q_SW,Q_SE
TS3A_AMP,TS3A,AMP,3.5,0.20576313827804696,36.953903252117556,142.64047677809896,34.669679463287366,47.633246366008194,0.0,0.002329481923220276
TS3A_BEMT,TS3A,BEMT,3.5,0.21688059075661573,38.95053523752151,140.643844792695,37.246086470368994,49.5061498322773,0.0,0.0
TS3A_BENZ,TS3A,BENZ,3.5,0.21940225493850168,39.40341195291172,140.1909680773048,39.80851658591129,47.95238538948938,0.0,0.0
TS3A_BMAE,TS3A,BMAE,3.5,0.21840057771151697,39.223516352341015,140.3708636778755,39.16790905702572,48.185333581811406,0.0069884457696608275,0.0
TS3A_BOX,TS3A,BOX,3.5,0.2389466082743198,42.91346797334947,136.68091205686704,46.53140141632501,49.03792396571003,0.009317927692881103,0.0
TS3A_DADP,TS3A,DADP,3.5,0.2123613958255684,38.138913225644366,141.45546680457215,36.393496086470364,48.455553484904954,0.04658963846440552,0.048919120387625796
TS3A_DBUA,TS3A,DBUA,3.5,0.24307561498322772,43.65501437337639,135.93936565684012,39.577897875512484,57.61041744316064,0.03727171077152441,0.004658963846440552
TS3A_DEA,TS3A,DEA,3.5,0.2395580972791651,43.02328796206996,136.57109206814656,37.59084979500559,58.220741707044354,0.01164740961610138,0.0
TS3A_DEGE,TS3A,DEGE,3.5,0.19292769288110323,34.64872939364175,144.94565063657475,39.0397875512486,38.1312896011927,0.0,0.0
TS3A_DEPA,TS3A,DEPA,3.5,0.18888604174431606,33.92287156343204,145.67150846678447,37.67937010808796,37.828456951174054,0.03261274692508386,0.013976891539321655
TS3A_DETA,TS3A,DETA,3.5,0.21223327431979128,38.11590332324579,141.47847670697072,44.278792396571006,40.539973909802455,0.05124860231084607,0.02329481923220276
TS3A_DMDP,TS3A,DMDP,3.5,0.18939270406261646,34.01386526837187,145.58051476184465,37.58619083115915,38.138278046962355,0.025624301155423034,0.0069884457696608275
TS3A_DMEDA,TS3A,DMEDA,3.5,0.1916231830040999,34.41444675103804,145.17993327917847,40.40020499440924,36.249068207230714,0.0,0.0
TS3A_EAE,TS3A,EAE,3.5,0.2416604547148714,43.40085954233754,136.19352048787897,39.15626164740962,57.50559075661573,0.002329481923220276,0.0
TS3A_EDA,TS3A,EDA,3.5,0.18847255870294446,33.848612332963896,145.74576769725263,40.015840477077894,35.373183004099886,0.0,0.0
TS3A_INDO,TS3A,INDO,3.5,0.22464941297055535,40.34577204659897,139.24860798361755,41.252795378307866,48.606969809914276,0.0,0.0
TS3A_ISBZ,TS3A,ISBZ,3.5,0.24283684308609765,43.612132282542674,135.98224774767385,45.778978755124854,51.355758479314204,0.0,0.0
TS3A_MEPI,TS3A,MEPI,3.5,0.21838893030190085,39.22142454303205,140.37295548718447,38.25708162504659,49.098490495713754,0.0,0.0
TS3A_METOX,TS3A,METOX,3.5,0.1872612281028699,33.631064164831876,145.96331586538463,34.42275437942602,40.47008945210585,0.004658963846440552,0.0069884457696608275
TS3A_MOR,TS3A,MOR,3.5,0.21803950801341782,39.1586702637632,140.43570976645333,38.2128214685054,49.00298173686173,0.0,0.0
TS3A_MTL,TS3A,MTL,3.5,0.194395266492732,34.912297366570925,144.6820826636456,36.51695862840104,41.24114796869176,0.0,0.0
TS3A_NMA,TS3A,NMA,3.5,0.23286666045471488,41.82154351407146,137.77283651614505,37.79584420424897,55.350819977636974,0.0,0.0
TS3A_OCTA,TS3A,OCTA,3.5,0.2127632314573239,38.211080646803545,141.38329938341298,44.127376071561685,40.903373089824825,0.05124860231084607,0.02329481923220276
TS3A_OTL,TS3A,OTL,3.5,0.21510436079016027,38.631534317904844,140.96284571231166,39.36358553857622,46.524412970555346,0.06289601192694744,0.09084979500559076
TS3A_PIP,TS3A,PIP,3.5,0.21899459560193812,39.330198627098056,140.26418140311847,38.63911666045472,48.93542676108834,0.02329481923220276,0.0
TS3A_THQ,TS3A,THQ,3.5,0.22852217666790905,41.04129864182874,138.55308138838777,41.55329854640328,49.85557212076034,0.0,0.0
