label,state,amine,radius,Vbur_pct,Vbur_abs,Vfree,Q_NE,Q_NW,Q_SW,Q_SE
5A_AMP,5A,AMP,3.5,0.06125372717107715,11.000825155829629,168.59355487438688,7.994781960491987,12.951919493104732,2.159429742825196,1.3953596720089452
5A_BEMT,5A,BEMT,3.5,0.06572050875885203,11.803034025816444,167.79134600440005,13.142937010808797,9.578829668281774,1.5164927320163997,2.049944092433843
5A_BENZ,5A,BENZ,3.5,0.10652720834886321,19.131687939763793,160.46269209045272,21.135389489377562,18.372623928438315,1.7540998881848675,1.3487700335445396
5A_BMAE,5A,BMAE,3.5,0.06505078270592621,11.682754990551148,167.91162503966535,8.053019008572493,14.291371598956392,2.3108460678345133,1.3650764070070815
5A_BOX,5A,BOX,3.5,0.05826616660454715,10.46427606808095,169.13010396213556,8.891632500931792,11.323611628773762,1.9101751770406263,1.1810473350726798
5A_DADP,5A,DADP,3.5,0.055872623928438316,10.034409255089319,169.5599707751272,8.169493104733508,11.342247484159524,1.77273574357063,1.064573238911666
5A_DBUA,5A,DBUA,3.5,0.055773620946701456,10.016628875963145,169.57775115425338,7.964498695490123,11.06270965337309,2.019660827431979,1.2625792023853895
5A_DEA,5A,DEA,3.5,0.08584723257547522,15.41768051170228,164.17669951851423,14.01882221393962,16.930674617964964,1.546775997018263,1.8426202012672384
5A_DEGE,5A,DEGE,3.5,0.05472535408125233,9.828366038156592,169.76601399205992,7.729221021244875,10.634084979500559,2.1757361162877378,1.35109951546776
5A_DEPA,5A,DEPA,3.5,0.056897595974655234,10.21848847427795,169.37589155593855,9.672008945210585,9.469344017890421,1.7867126351099514,1.830972791651137
5A_DETA,5A,DETA,3.5,0.07160827431979128,12.860443631496588,166.73393639871992,12.928624673872532,12.677040626164741,1.8449496831904586,1.1926947446887812
5A_DMDP,5A,DMDP,3.5,0.05538343272456206,9.946553264112929,169.64782676610358,8.006429370108089,11.069698099142752,1.9311405143496088,1.1461051062243757
5A_DMEDA,5A,DMEDA,3.5,0.062371878494222883,11.201638849489953,168.39274118072655,10.002795378307864,11.810473350726799,1.926481550503168,1.2090011181513232
5A_EAE,5A,EAE,3.5,0.08266166604547148,14.84557066570125,164.74880936451527,13.797521431233694,15.947633246366006,1.460585165859113,1.85892657472978
5A_EDA,5A,EDA,3.5,0.054894241520685796,9.858697273136535,169.73568275707999,7.782799105478941,10.797148714125978,2.096533730898248,1.2812150577711516
5A_INDO,5A,INDO,3.5,0.05601821654863958,10.060556871451341,169.53382315876516,7.8643309727916515,11.181513231457323,2.0639209839731643,1.2975214312336936
5A_ISBZ,5A,ISBZ,3.5,0.06440435147223257,11.56665957390377,168.02772045631275,9.578829668281774,13.187197167349982,1.8286433097279164,1.1670704435333583
5A_MEPI,5A,MEPI,3.5,0.06512066716362282,11.695305846404917,167.8990741838116,8.129891912038763,14.44278792396571,2.1571002609019754,1.3184867685426762
5A_METOX,5A,METOX,3.5,0.05474864890048453,9.832549656774514,169.761830373442,10.000465896384645,8.52124487513977,1.4838799850913158,1.8938688035780842
5A_MOR,5A,MOR,3.5,0.06299501490868431,11.313550647519405,168.2808293826971,12.527953783078644,9.310939247111442,1.4489377562430117,1.9101751770406263
5A_MTL,5A,MTL,3.5,0.05520872158032054,9.915176124478503,169.679203905738,7.969157659336563,10.950894521058517,1.9614237793514722,1.2020126723816624
5A_NMA,5A,NMA,3.5,0.07201010995154677,12.932611052655767,166.66176897756074,8.796123742079763,16.031494595601938,2.268915393216549,1.7075102497204624
5A_OCTA,5A,OCTA,3.5,0.06865565598210958,12.330169971674797,167.26421005854172,12.050409988818485,12.3159709280656,1.8892098397316437,1.2066716362281027
5A_OTL,5A,OTL,3.5,0.09763441110696981,17.53459153237153,162.05978849784498,17.39191203876258,18.31438688035781,1.7028512858740217,1.644614237793515
5A_PIP,5A,PIP,3.5,0.06421799291837495,11.533190624960383,168.06118940525613,8.087961237420798,14.160920611256056,2.152441297055535,1.2858740216175923
5A_THQ,5A,THQ,3.5,0.05880194744688781,10.56049929629319,169.03388073392333,7.554509877003354,12.17620201267238,2.348117778606038,1.4419493104733507
