feature,coefficient,abs_coef
E_SE_frag2_TSH2,-13.87315971555199,13.87315971555199
4A,7.742482491676672,7.742482491676672
E_SE_frag1_5A,5.635086700700722,5.635086700700722
hyd4,5.237707427718206,5.237707427718206
H1,-5.223187302167304,5.223187302167304
TS3A_3A,-4.678876176421058,4.678876176421058
E2_TS3A,-3.826896642444444,3.826896642444444
"E_pwx(2,3)_5A",-3.72212335345133,3.72212335345133
E_DEF_frag1_TS5A,3.566008522975508,3.566008522975508
WBI_4A,-3.065964139784156,3.065964139784156
TSH2,2.956602674156122,2.956602674156122
E_ES_H1,-2.4294799446901156,2.4294799446901156
E_pwx(1)_5A,-2.3112610933377207,2.3112610933377207
3A_4A,1.8612809600481988,1.8612809600481988
E_SE_frag2_TS5A,-1.5510424275301813,1.5510424275301813
E_SE_frag2_3A,-1.1384473964074195,1.1384473964074195
E_ES_H3,-1.1049725762312321,1.1049725762312321
E_core_H1,1.046137087619694,1.046137087619694
"E_pwx(1,3)_5A",0.966904218671539,0.966904218671539
E_SE_frag2_H3,-0.8412678173145457,0.8412678173145457
E_elec_H1,-0.7692184341636957,0.7692184341636957
E_int_H1,0.7497786414928514,0.7497786414928514
Ex_NLMO(1)_5A,-0.6718412777096864,0.6718412777096864
E2_int4A,-0.2918764875662129,0.2918764875662129
TS5A,0.2875964611316245,0.2875964611316245
Ex_NLMO(1)_3A,0.28220979589389095,0.28220979589389095
E_CT_TS3A,0.2813015433050388,0.2813015433050388
E_pwx(1)_2A,-0.1046326071991666,0.1046326071991666
